run,status,encoder,model_description,loss,data,img_size,batch_size,learning_rate,planned_epochs,completed_epochs,best_epoch,best_val_abs_rel,best_val_mae_m,best_val_rmse_m,best_val_silog,best_val_d1,last_epoch,last_train_loss,last_val_abs_rel,test_abs_rel,test_mae_m,test_rmse_m,test_silog,test_d1,test_frames,best_checkpoint,last_checkpoint
fisheye_vits_20260914_1500,complete,vits,,RangeWeightedSiLogLoss,/home/share/lilian/data/nx-2.0_4/dataset,322,4,5e-06,60,60,27,0.14365923341516165,0.9476052370162038,1.2553026795125843,0.12882521880343992,0.8241111228068234,59,0.09819720906926807,0.1484330543071816,0.4665246967914517,1.4606177119915087,1.92528514987912,0.3159786872238008,0.5178547546593029,341,True,True
fisheye_vits_20260914_1218,complete,vits,"DPTHEAD_custom, replace the last sigmoid to softplus",SiLogLoss,/home/share/lilian/data/nx-2.0_4/dataset,322,4,1e-05,60,60,47,0.1599115459302887,0.9843759836073507,1.3227894715746942,0.1440693522580186,0.794103506421507,59,0.049479388311439866,0.16994412097949207,0.5339131868742079,1.6164424067630796,2.2835742120693854,0.3473632121540584,0.49684873947040625,341,True,True
